Month,County,IPC3plus_Pop,IPC3plus_Fraction,Maize_Price,Bean_Price,Rainfall,Rainfall_Anomaly
2021-02,Baringo,66678,0.03333333333333333,1379.1675,8100.0,184.792230125,122.51782580555556
2021-02,Embu,0,0.0,1379.1675,7123.5,114.86526695277777,106.61702869444446
2021-02,Garissa,126203,0.05000000000000001,1379.1675,7863.0,65.68231526111111,84.94026677777778
2021-02,Isiolo,40200,0.05000000000000001,50.0,102.5,28.278380778888888,96.03484755555556
2021-02,Kajiado,55892,0.016666666666666666,1379.1675,7123.5,61.41549728333334,120.76865077777776
2021-02,Kilifi,145379,0.03333333333333333,1379.1675,7123.5,84.66968615,68.96674208333333
2021-02,Kitui,56809,0.016666666666666666,2700.0,6750.0,68.88853626666666,117.04654736111111
2021-02,Kwale,86682,0.03333333333333333,1379.1675,7123.5,99.91800935555555,74.86541555555556
2021-02,Laikipia,25928,0.016666666666666666,1379.1675,7123.5,104.97664016666667,101.58380433333335
2021-02,Lamu,21588,0.049999999999999996,1379.1675,7123.5,60.03448272222222,82.42140605555556
2021-02,Makueni,49383,0.016666666666666666,1379.1675,7200.0,83.97730331666666,121.8710058888889
2021-02,Mandera,173492,0.06666666666666667,2880.0,9270.0,26.922538983333332,88.71690177777778
2021-02,Marsabit,68968,0.05000000000000001,1379.1675,7123.5,46.452470822222224,104.79310577777778
2021-02,Meru,51349,0.016666666666666666,1379.1675,7123.5,105.02876712777777,91.76788613888888
2021-02,Narok,0,0.0,1379.1675,7123.5,125.71649265277776,112.63875708333333
2021-02,Nyeri,0,0.0,1379.1675,6003.0,112.1446785,87.49855074999999
2021-02,Samburu,46549,0.05000000000000001,1379.1675,7123.5,50.889376294444446,93.22127794444444
2021-02,Taita Taveta,17034,0.016666666666666666,1379.1675,7123.5,46.49970252222222,81.7874065
2021-02,Tana River,47391,0.05000000000000001,1379.1675,7123.5,59.97306046666667,96.17273566666667
2021-02,Tharaka-Nithi,20039,0.049999999999999996,1379.1675,7123.5,100.90058946388888,97.37963191666667
2021-02,Turkana,185395,0.06666666666666667,57.71,113.33,71.63183938888889,107.19946411111111
2021-02,Wajir,78126,0.03333333333333333,58.335,135.83,37.50712694722222,99.16393261111111
2021-02,West Pokot,62124,0.03333333333333333,2799.0,9900.0,146.76058308333333,102.68744166666667
2021-03,Baringo,100017,0.049999999999999996,2520.0,8175.0,184.792230125,122.51782580555556
2021-03,Embu,0,0.0,1291.975,6903.0,114.86526695277777,106.61702869444446
2021-03,Garissa,168271,0.06666666666666667,63.95,100.29,65.68231526111111,84.94026677777778
2021-03,Isiolo,53600,0.06666666666666667,60.0,132.5,28.278380778888888,96.03484755555556
